ali krije,ali_krije
ali pokrije,ali_krije
ali lahko,ali_lahko
je mo_no,ali_lahko
ali mi pripada,ali_mi_pripada
ali dobim,ali_mi_pripada
ali se stro_ek povrne,ali_mi_pripada
ali se stro_ki povrnejo,ali_mi_pripada
ali pla_am,ali_placam
ali se mi denarno pozna,ali_placam
ali je treba,ali_treba
ali je potrebno,ali_treba
ali moram,ali_treba
ali moramo,ali_treba
ali velja,ali_velja
dela ob vikendih,dela_med_prazniki
dela ob praznikih,dela_med_prazniki
dela _ez vikend,dela_med_prazniki
dela med prazniki,dela_med_prazniki
dela med praznikom,delo_cez_vikend
kaj je,kaj_je
kaj pomeni,kaj_je
kaj krije,kaj_krije
kaj pokrije,kaj_krije
kako zavarujem,kako_zavarujem
kako zavarujemo,kako_zavarujem
kako se zavaruje,kako_zavarujem
kak_en je postopek,kaksen_postopek
kako postopati,kaksen_postopek
kako postopam,kaksen_postopek
kako postopamo,kaksen_postopek
kak_na je procedura,kaksen_postopek
kam peljati,kam_peljati
kam se pelje,kam_peljati
kam odpeljati,kam_peljati
na kateri servis odpeljati,kam_peljati
kdaj za_ne veljati,kdaj_zacne_veljati
od kdaj velja,kdaj_zacne_veljati
kje je,kje_je
kje se nahaja,kje_je
kje dobim,kje_je
kolikokrat lahko koristim,kolikokrat_koristim
pre_kam mejo,preckam_mejo
grem _ez mejo,preckam_mejo
peljem _ez mejo,preckam_mejo
pre_kam carino,preckam_mejo
prijava,prijava
prijaviti,prijava
prijaviti,prijava
prijavim,prijava
klicati policijo,klicati_policijo
poklicati policijo,klicati_policijo
